id,name,album_id,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature,color
68MTDH8Kk4jBEV1ah0n89s,EA (feat. 21 Savage),6PRXKEq952eaaJWMUGNx5t,hip-hop,0.451,0.876,10,-5.205,0,0.414,0.261,0.0,0.098,0.227,87.306,audio_features,spotify:track:68MTDH8Kk4jBEV1ah0n89s,https://api.spotify.com/v1/tracks/68MTDH8Kk4jBEV1ah0n89s,https://api.spotify.com/v1/audio-analysis/68MTDH8Kk4jBEV1ah0n89s,227176,5,[1.         0.70054304 0.37841105 1.        ]
68wbJgYGDJe6SRWha5ty4b,Until We Meet Again,47yp8Kucrpg1bW8BPlp4j5,jazz,0.191,0.152,2,-17.436,0,0.0293,0.722,0.953,0.049,0.0429,101.729,audio_features,spotify:track:68wbJgYGDJe6SRWha5ty4b,https://api.spotify.com/v1/tracks/68wbJgYGDJe6SRWha5ty4b,https://api.spotify.com/v1/audio-analysis/68wbJgYGDJe6SRWha5ty4b,284076,3,[0.50392157 0.99998103 0.70492555 1.        ]
69QHm3pustz01CJRwdo20z,Hells Bells,6mUdeDZCsExyJLMdAfDuwh,rock,0.389,0.873,4,-4.768,0,0.0475,0.00532,0.0055,0.273,0.303,106.767,audio_features,spotify:track:69QHm3pustz01CJRwdo20z,https://api.spotify.com/v1/tracks/69QHm3pustz01CJRwdo20z,https://api.spotify.com/v1/audio-analysis/69QHm3pustz01CJRwdo20z,312293,4,[0.5 0.  1.  1. ]
69YhLoJzgjLcmNsp7G2z1z,Faster Ride,433RbGK1PmruhvjpTckmRU,pop,0.511,0.772,4,-3.461,1,0.0612,0.000687,0.0,0.306,0.786,146.832,audio_features,spotify:track:69YhLoJzgjLcmNsp7G2z1z,https://api.spotify.com/v1/tracks/69YhLoJzgjLcmNsp7G2z1z,https://api.spotify.com/v1/audio-analysis/69YhLoJzgjLcmNsp7G2z1z,208653,4,[0.00196078 0.70928131 0.92328911 1.        ]
69aGQA9RqsvC8KpZOluneL,Freak,0OZlKcE7LQcDkPYDqebahz,hip-hop,0.653,0.802,1,-7.03,1,0.336,0.0707,0.0,0.3,0.319,164.076,audio_features,spotify:track:69aGQA9RqsvC8KpZOluneL,https://api.spotify.com/v1/tracks/69aGQA9RqsvC8KpZOluneL,https://api.spotify.com/v1/audio-analysis/69aGQA9RqsvC8KpZOluneL,170027,4,[1.         0.70054304 0.37841105 1.        ]
6A6am7JK6SNzIKOGlU53sw,Ayo Technology,4BSvr6wzkjv5t76Sw067hI,hip-hop,0.63,0.782,8,-5.44,0,0.132,0.0828,0.0,0.034,0.418,140.144,audio_features,spotify:track:6A6am7JK6SNzIKOGlU53sw,https://api.spotify.com/v1/tracks/6A6am7JK6SNzIKOGlU53sw,https://api.spotify.com/v1/audio-analysis/6A6am7JK6SNzIKOGlU53sw,247947,4,[1.         0.70054304 0.37841105 1.        ]
6AGA4j46aZkdKmH8m40uFi,"Concerto in D Minor, BWV 974: II. Adagio",55JntsXFPDiT7ElgUXOoY4,classical,0.497,0.041,2,-28.093,0,0.0341,0.995,0.956,0.119,0.0399,76.065,audio_features,spotify:track:6AGA4j46aZkdKmH8m40uFi,https://api.spotify.com/v1/tracks/6AGA4j46aZkdKmH8m40uFi,https://api.spotify.com/v1/audio-analysis/6AGA4j46aZkdKmH8m40uFi,209230,4,[1.0000000e+00 1.2246468e-16 6.1232340e-17 1.0000000e+00]
6AsCaYsDYoyU2PEFbSLgpf,Manhattan Serenade,2RMevcwFFsivslSVNRNjws,jazz,0.233,0.0217,2,-25.128,0,0.0305,0.994,0.872,0.106,0.213,81.938,audio_features,spotify:track:6AsCaYsDYoyU2PEFbSLgpf,https://api.spotify.com/v1/tracks/6AsCaYsDYoyU2PEFbSLgpf,https://api.spotify.com/v1/audio-analysis/6AsCaYsDYoyU2PEFbSLgpf,216018,4,[0.50392157 0.99998103 0.70492555 1.        ]
6AtZLIzUINvExIUy4QhdjP,I Knew You Were Trouble (Taylor's Version),6kZ42qRrzov54LcAk4onW9,pop,0.584,0.557,6,-6.371,1,0.0342,0.0129,0.0,0.0576,0.767,154.008,audio_features,spotify:track:6AtZLIzUINvExIUy4QhdjP,https://api.spotify.com/v1/tracks/6AtZLIzUINvExIUy4QhdjP,https://api.spotify.com/v1/audio-analysis/6AtZLIzUINvExIUy4QhdjP,219760,4,[0.00196078 0.70928131 0.92328911 1.        ]
6Awl7JBDQjfm7xkS3LkhDi,We Got History,7hWoBHqzfN4QMcVPFSqbBS,pop,0.628,0.833,0,-6.327,1,0.0311,0.0014,0.0,0.104,0.309,98.025,audio_features,spotify:track:6Awl7JBDQjfm7xkS3LkhDi,https://api.spotify.com/v1/tracks/6Awl7JBDQjfm7xkS3LkhDi,https://api.spotify.com/v1/audio-analysis/6Awl7JBDQjfm7xkS3LkhDi,203680,4,[0.00196078 0.70928131 0.92328911 1.        ]
